High,Low,Open,Close,Volume,Adj Close
10555.009765625,10423.1298828125,10548.509765625,10428.0498046875,1379400,10428.0498046875
10604.9697265625,10430.6904296875,10430.6904296875,10583.9599609375,1797800,10583.9599609375
10584.5595703125,10522.51953125,10584.5595703125,10572.01953125,1885400,10572.01953125
10594.990234375,10546.5498046875,10564.7197265625,10573.6796875,1860400,10573.6796875
10612.3701171875,10505.2099609375,10571.1103515625,10606.8603515625,2173900,10606.8603515625
10619.400390625,10554.330078125,10606.400390625,10618.1904296875,1727100,10618.1904296875
10676.23046875,10591.58984375,10620.3095703125,10663.990234375,1820500,10663.990234375
10663.080078125,10568.83984375,10662.8603515625,10627.259765625,2560500,10627.259765625
10709.259765625,10614.490234375,10628.08984375,10680.76953125,2028100,10680.76953125
10723.76953125,10666.8603515625,10680.16015625,10710.5498046875,2013200,10710.5498046875
10709.9404296875,10561.0595703125,10706.990234375,10609.650390625,3629300,10609.650390625
10729.8896484375,10591.9697265625,10608.3701171875,10725.4296875,1921500,10725.4296875
10719.919921875,10517.2998046875,10719.6904296875,10603.150390625,2032700,10603.150390625
10614.9404296875,10374.6904296875,10603.91015625,10389.8798828125,3042900,10389.8798828125
10389.580078125,10157.6396484375,10389.580078125,10172.98046875,3236200,10172.98046875
10256.8701171875,10171.76953125,10175.099609375,10196.8603515625,2153300,10196.8603515625
10285.1298828125,10155.599609375,10195.349609375,10194.2900390625,2173000,10194.2900390625
10255.0595703125,10104.3603515625,10194.2900390625,10236.16015625,2621700,10236.16015625
10258.830078125,10055.080078125,10236.919921875,10120.4599609375,2400500,10120.4599609375
10239.33984375,10043.75,10122.0400390625,10067.330078125,3169000,10067.330078125
10190.8896484375,10068.91015625,10068.990234375,10185.5302734375,1984300,10185.5302734375
10314.83984375,10173.58984375,10186.1298828125,10296.849609375,2371400,10296.849609375
10307.2001953125,10231.9296875,10291.73046875,10270.5498046875,1989400,10270.5498046875
10273.1201171875,9998.0302734375,10273.1201171875,10002.1796875,3042400,10002.1796875
10031.9599609375,9835.08984375,10003.6904296875,10012.23046875,3083200,10012.23046875
10028.5595703125,9904.08984375,10005.4296875,9908.3896484375,2162700,9908.3896484375
10139.4296875,9910.0595703125,9910.2802734375,10058.6396484375,2362100,10058.6396484375
10085.5400390625,9962.9599609375,10055.4599609375,10038.3798828125,1786000,10038.3798828125
10161.5703125,9976.7099609375,10037.849609375,10144.1904296875,1944700,10144.1904296875
10137.3896484375,9983.8203125,10137.23046875,10099.1396484375,2965100,10099.1396484375
10279.5400390625,10100.8095703125,10100.8095703125,10268.8095703125,2349000,10268.8095703125
10320.1298828125,10261.48046875,10261.48046875,10309.240234375,1932700,10309.240234375
10406.580078125,10294.509765625,10309.3896484375,10392.900390625,1853100,10392.900390625
10438.5498046875,10339.169921875,10387.76953125,10402.349609375,2417500,10402.349609375
10433.6396484375,10368.9501953125,10402.4296875,10383.3798828125,1584400,10383.3798828125
10411.1201171875,10267.830078125,10383.16015625,10282.41015625,1907400,10282.41015625
10393.509765625,10283.9296875,10284.0,10374.16015625,1814500,10374.16015625
10366.6796875,10185.830078125,10366.599609375,10321.0302734375,2425500,10321.0302734375
10353.4501953125,10272.2900390625,10321.41015625,10325.259765625,2821200,10325.259765625
10413.990234375,10326.099609375,10326.099609375,10403.7900390625,1737500,10403.7900390625
10456.919921875,10389.4296875,10404.16015625,10405.98046875,2171800,10405.98046875
10469.5400390625,10376.580078125,10406.2802734375,10396.759765625,1832900,10396.759765625
10452.3798828125,10390.8603515625,10396.5302734375,10444.1396484375,1657400,10444.1396484375
10571.9404296875,10445.0498046875,10445.1298828125,10566.2001953125,1842700,10566.2001953125
10587.740234375,10542.3896484375,10563.7802734375,10552.51953125,1717800,10552.51953125
10612.599609375,10533.9296875,10552.240234375,10564.3798828125,2198600,10564.3798828125
10601.7900390625,10526.51953125,10560.1298828125,10567.330078125,1865700,10567.330078125
10611.83984375,10507.169921875,10560.98046875,10611.83984375,1500000,10611.83984375
10644.9501953125,10594.83984375,10611.76953125,10624.6904296875,1661400,10624.6904296875
10644.1904296875,10570.509765625,10623.41015625,10642.150390625,1605700,10642.150390625
10693.990234375,10621.900390625,10642.5302734375,10685.98046875,2274100,10685.98046875
10767.98046875,10686.3603515625,10686.3603515625,10733.669921875,1941900,10733.669921875
10784.0,10728.150390625,10733.4404296875,10779.169921875,1532800,10779.169921875
10819.900390625,10694.2197265625,10780.0,10741.98046875,4341900,10741.98046875
10809.849609375,10695.1298828125,10741.0,10785.8896484375,1572000,10785.8896484375
10893.8896484375,10784.759765625,10787.1796875,10888.830078125,1891400,10888.830078125
10887.83984375,10825.419921875,10887.6201171875,10836.150390625,1955700,10836.150390625
10955.48046875,10834.1904296875,10837.509765625,10841.2099609375,2003300,10841.2099609375
10909.3798828125,10816.4296875,10841.2900390625,10850.3603515625,1754900,10850.3603515625
10916.6396484375,10849.23046875,10849.23046875,10895.8603515625,1367100,10895.8603515625
10940.2197265625,10866.830078125,10895.01953125,10907.419921875,1488100,10907.419921875
10907.419921875,10832.830078125,10907.33984375,10856.6298828125,1970600,10856.6298828125
10956.3896484375,10857.3095703125,10857.3095703125,10927.0703125,1595200,10927.0703125
10988.0595703125,10923.9697265625,10927.4501953125,10973.5498046875,1394800,10973.5498046875
10987.3798828125,10927.51953125,10972.490234375,10969.990234375,1599600,10969.990234375
10962.66015625,10845.4501953125,10961.9501953125,10897.51953125,1870000,10897.51953125
10949.3603515625,10844.08984375,10896.990234375,10927.0703125,1589300,10927.0703125
